slot,benchmark_attestations,g1_matching_attestations_on_CA,g2_matching_attestations_on_CB
425,21,0,0
426,21,0,0
427,21,0,0
428,21,0,0
429,21,0,0
430,21,0,0
431,21,0,0
432,21,0,0
433,21,0,0
434,21,0,0
435,21,0,0
436,21,0,0
437,21,0,0
438,21,0,0
439,21,0,0
440,21,0,0
441,21,0,0
442,21,0,0
443,21,0,0
444,21,0,0
445,21,0,0
446,21,0,0
447,21,0,0
448,21,0,0
449,21,0,0
450,21,0,0
451,21,0,0
452,21,0,0
453,21,0,0
454,21,0,0
455,21,0,0
456,21,0,0
457,21,0,0
458,21,0,0
459,21,0,0
460,21,0,0
461,21,0,0
462,21,0,0
463,21,0,0
464,21,0,0
465,21,0,0
466,21,0,0
467,21,0,0
468,21,0,0
469,21,0,0
470,21,0,0
471,21,0,0
472,21,0,0
473,21,0,0
474,21,0,0
475,21,0,0
476,21,0,0
477,21,0,0
478,21,0,0
479,21,0,0
480,21,0,0
481,21,0,0
482,21,0,0
483,21,0,0
484,21,0,0
485,21,0,0
486,21,0,0
487,21,0,0
488,21,0,0
489,21,0,0
490,21,0,0
491,21,0,0
492,21,0,0
493,21,0,0
494,21,0,0
495,21,0,0
496,21,0,0
497,21,0,0
498,21,0,0
499,21,0,0
500,21,0,0
501,21,0,0
502,21,0,0
503,21,0,0
504,21,0,0
505,21,0,0
506,21,0,0
507,21,0,0
508,21,0,0
509,21,0,0
510,21,0,0
511,21,0,0
512,21,0,0
513,21,0,0
514,21,0,0
515,21,0,0
516,21,0,0
517,21,0,0
518,21,0,0
519,21,0,0
520,21,0,0
521,21,0,0
522,21,0,0
523,21,0,0
524,21,0,0
525,21,0,0
526,21,0,0
527,21,0,0
528,21,0,0
529,21,0,0
530,21,0,0
531,21,0,0
532,21,0,0
533,21,0,0
534,21,0,0
535,21,0,0
536,21,0,0
537,21,0,0
538,21,0,0
539,21,0,0
540,21,0,0
541,21,0,0
542,21,0,0
543,21,0,0
544,21,0,0
545,21,0,0
546,21,0,0
547,21,0,0
548,21,0,0
549,21,0,0
550,21,0,0
551,21,0,0
552,21,0,0
553,21,0,0
554,21,0,0
555,21,0,0
556,21,0,0
557,21,0,0
558,21,0,0
559,21,0,0
560,21,0,0
561,21,0,0
562,21,0,0
563,21,0,0
564,21,0,0
565,21,0,0
566,21,0,0
567,21,0,0
568,21,0,0
569,21,0,0
570,21,0,0
571,21,0,0
572,21,0,0
573,21,0,0
574,21,0,0
575,21,0,0
576,21,0,0
577,21,0,0
578,21,0,0
579,21,0,0
580,21,0,0
581,21,0,0
582,21,0,0
583,21,0,0
584,21,0,0
585,21,0,0
586,21,0,0
587,21,0,0
588,21,0,0
589,21,0,0
590,21,0,0
591,21,0,0
592,21,0,0
593,21,0,0
594,21,0,0
595,21,0,0
596,21,0,0
597,21,0,0
598,21,0,0
599,21,0,0
600,21,0,0
601,21,0,0
602,21,0,0
603,21,0,0
604,21,0,0
605,21,0,0
606,21,0,0
607,21,0,0
608,21,0,0
609,21,0,0
610,21,0,0
611,21,0,0
612,21,0,0
613,21,0,0
614,21,0,0
615,21,0,0
616,21,0,0
617,21,0,0
618,21,0,0
619,21,0,0
620,21,0,0
621,21,0,0
622,21,0,0
623,21,0,0
624,21,0,0
625,21,0,0
626,21,0,0
627,21,0,0
628,21,0,0
629,21,0,0
630,21,0,0
631,21,0,0
632,21,0,0
633,21,0,0
634,21,0,0
635,21,0,0
636,21,0,0
637,21,0,0
638,21,0,0
639,21,0,0
640,21,0,0
641,21,0,0
642,21,0,0
643,21,0,0
644,21,0,0
645,21,0,0
646,21,0,0
647,21,0,0
648,21,0,0
649,21,0,0
650,21,0,0
651,21,0,0
652,21,0,0
653,21,0,0
654,21,0,0
655,21,0,0
656,21,0,0
657,21,0,0
658,21,0,0
659,21,0,0
660,21,0,0
661,21,0,0
662,21,0,0
663,21,0,0
664,21,0,0
665,21,0,0
666,21,0,0
667,21,0,0
668,21,0,0
669,21,0,0
670,21,0,0
671,21,0,0
672,21,0,0
673,21,0,0
674,21,0,0
675,21,0,0
676,21,0,0
677,21,0,0
678,21,0,0
679,21,0,0
680,21,0,0
681,21,0,0
682,21,0,0
683,21,0,0
684,21,0,0
685,21,0,0
686,21,0,0
687,21,0,0
688,21,0,0
689,21,0,0
690,21,0,0
691,21,0,0
692,21,0,0
693,21,0,0
694,21,0,0
695,21,0,0
696,21,0,0
697,21,0,0
698,21,0,0
699,21,0,0
700,21,0,0
701,21,0,0
702,21,0,0
703,21,0,0
704,21,0,0
705,21,0,0
706,21,0,0
707,21,0,0
708,21,0,0
709,21,0,0
710,21,0,0
711,21,0,0
712,21,0,0
713,21,0,0
714,21,0,0
715,21,0,0
716,21,0,0
717,21,0,0
718,21,0,0
719,21,0,0
720,21,0,0
721,21,0,0
722,21,0,0
723,21,0,0
724,21,0,0
725,21,0,0
726,21,0,0
727,21,0,0
728,21,0,0
729,21,0,0
730,21,0,0
731,21,0,0
732,21,0,0
733,21,0,0
734,21,0,0
735,21,0,0
736,21,0,0
737,21,0,0
738,21,0,0
739,21,0,0
740,21,0,0
741,21,0,0
742,21,0,0
743,21,0,0
744,21,0,0
745,21,0,0
746,21,0,0
747,21,0,0
748,21,0,0
749,21,0,0
750,21,0,0
751,21,0,0
752,21,0,0
753,21,0,0
754,21,0,0
755,21,0,0
756,21,0,0
757,21,0,0
758,21,0,0
759,21,0,0
760,21,0,0
761,21,0,0
762,21,0,0
763,21,0,0
764,21,0,0
765,21,0,0
766,21,0,0
767,21,0,0
768,21,0,0
769,21,0,0
770,21,0,0
771,21,0,0
772,21,0,0
773,21,0,0
774,21,0,0
775,21,0,0
776,21,0,0
777,21,0,0
778,21,0,0
779,21,0,0
780,21,0,0
781,21,0,0
782,21,0,0
783,21,0,0
784,21,0,0
785,21,0,0
786,21,0,0
787,21,0,0
788,21,0,0
789,21,0,0
790,21,0,0
791,21,0,0
792,21,0,0
793,21,0,0
794,21,0,0
795,21,0,0
796,21,0,0
797,21,0,0
798,21,0,0
799,21,0,0
800,21,0,0
801,21,0,0
802,21,0,0
803,21,0,0
804,21,0,0
805,21,0,0
806,21,0,0
807,21,0,0
808,21,0,0
809,21,0,0
810,21,0,0
811,21,0,0
812,21,0,0
813,21,0,0
814,21,0,0
815,21,0,0
816,21,0,0
817,21,0,0
818,21,0,0
819,21,0,0
820,21,0,0
821,21,0,0
822,21,0,0
823,21,0,0
824,21,0,0
825,21,0,0
826,21,0,0
827,21,0,0
828,21,0,0
829,21,0,0
830,21,0,0
831,21,0,0
832,21,0,0
833,21,0,0
834,21,0,0
835,21,0,0
836,21,0,0
837,21,0,0
838,21,0,0
839,21,0,0
840,21,0,0
841,21,0,0
842,21,0,0
843,21,0,0
844,21,0,0
845,21,0,0
846,21,0,0
847,21,0,0
848,21,0,0
849,21,0,0
850,21,0,0
851,21,0,0
852,21,0,0
853,21,0,0
854,21,0,0
855,21,0,0
856,21,0,0
857,21,0,0
858,21,0,0
859,21,0,0
860,21,0,0
861,21,0,0
862,21,0,0
863,21,0,0
864,21,0,0
865,21,0,0
866,21,0,0
867,21,0,0
868,21,0,0
869,21,0,0
870,21,0,0
871,21,0,0
872,21,0,0
873,21,0,0
874,21,0,0
875,21,0,0
876,21,0,0
877,21,0,0
878,21,0,0
879,21,0,0
880,21,0,0
881,21,0,0
882,21,0,0
883,21,0,0
884,21,0,0
885,21,0,0
886,21,0,0
887,21,0,0
888,21,0,0
889,21,0,0
890,21,0,0
891,21,0,0
892,21,0,0
893,21,0,0
894,21,0,0
895,21,0,0
896,21,0,0
897,21,0,0
898,21,0,0
899,21,0,0
900,21,0,0
901,21,0,0
902,21,0,0
903,21,0,0
904,21,0,0
905,21,0,0
906,21,0,0
907,21,0,0
908,21,0,0
909,21,0,0
910,21,0,0
911,21,0,0
912,21,0,0
913,21,0,0
914,21,0,0
915,21,0,0
916,21,0,0
917,21,0,0
918,21,0,0
919,21,0,0
920,21,0,0
921,21,0,0
922,21,0,0
923,21,0,0
924,21,0,0
925,21,0,0
926,21,0,0
927,21,0,0
928,21,0,0
929,21,0,0
930,21,0,0
931,21,0,0
932,21,0,0
933,21,0,0
934,21,0,0
935,21,0,0
936,21,0,0
937,21,0,0
938,21,0,0
939,21,0,0
940,21,0,0
941,21,0,0
942,21,0,0
943,21,0,0
944,21,0,0
945,21,0,0
946,21,0,0
947,21,0,0
948,21,0,0
949,21,0,0
950,21,0,0
951,21,0,0
952,21,0,0
953,21,0,0
954,21,0,0
955,21,0,0
956,21,0,0
957,21,0,0
958,21,0,0
959,21,0,0
960,21,0,0
961,21,0,0
962,21,0,0
963,21,0,0
964,21,0,0
965,21,0,0
966,21,0,0
967,21,0,0
968,21,0,0
969,21,0,0
970,21,0,0
971,21,0,0
972,21,0,0
973,21,0,0
974,21,0,0
975,21,0,0
976,21,0,0
977,21,0,0
978,21,0,0
979,21,0,0
980,21,0,0
981,21,0,0
982,21,0,0
983,21,0,0
984,21,0,0
985,21,0,0
986,21,0,0
987,21,0,0
988,21,0,0
989,21,0,0
990,21,0,0
991,21,0,0
992,21,0,0
993,21,0,0
994,21,0,0
995,21,0,0
996,21,0,0
997,21,0,0
998,21,0,0
999,21,11,0
1000,21,11,0
1001,21,11,0
1002,21,6,0
1003,21,8,0
1004,21,11,1
1005,21,11,0
1006,21,11,0
1007,21,11,0
1008,21,11,0
1009,21,11,0
1010,21,11,0
1011,21,11,0
1012,21,11,0
1013,21,11,0
1014,21,11,0
1015,21,11,0
1016,21,11,0
1017,21,11,0
1018,21,11,0
1019,21,11,1
1020,21,11,1
1021,21,11,1
1022,21,2,1
1023,21,2,1
1024,21,2,1
1025,21,2,1
1026,21,2,1
1027,21,2,1
1028,21,2,1
1029,21,2,1
1030,21,2,1
1031,21,2,1
1032,21,2,1
1033,21,2,1
1034,21,2,1
1035,21,2,6
1036,21,2,10
1037,21,2,10
1038,21,2,10
1039,21,2,10
1040,21,2,10
1041,21,2,10
1042,21,2,10
1043,21,2,10
1044,21,2,10
1045,21,7,10
1046,21,11,10
1047,21,11,10
1048,21,11,10
1049,21,3,10
1050,21,3,10
1051,21,3,10
1052,21,3,10
1053,21,3,10
1054,21,3,10
1055,21,3,10
1056,21,3,10
1057,21,3,11
1058,21,3,11
1059,21,3,11
1060,21,3,11
1061,21,3,11
1062,21,3,11
1063,21,3,11
1064,21,3,11
1065,21,3,11
1066,21,3,11
1067,21,3,11
1068,21,3,11
1069,21,3,1
1070,21,3,1
1071,21,3,1
1072,21,3,1
1073,21,3,1
1074,21,3,1
1075,21,4,1
1076,21,4,1
1077,21,4,1
1078,21,9,1
1079,21,10,9
1080,21,11,11
1081,21,11,11
1082,21,11,11
1083,21,11,11
1084,21,11,11
1085,21,11,11
1086,21,11,11
1087,21,11,11
1088,21,11,11
1089,21,15,16
1090,21,15,16
1091,21,15,0
1092,21,15,0
1093,21,15,0
1094,21,15,0
1095,21,15,1
1096,21,15,1
1097,21,15,1
1098,21,15,0
1099,21,15,0
1100,21,15,0
1101,21,15,0
1102,21,15,0
1103,21,15,0
1104,21,15,0
1105,21,15,0
1106,21,15,0
1107,21,15,0
1108,21,15,0
1109,21,15,0
1110,21,15,0
1111,21,15,0
1112,21,15,0
1113,21,15,0
1114,21,15,0
1115,21,15,0
1116,21,15,0
1117,21,3,0
1118,21,15,0
1119,21,15,0
1120,21,15,0
1121,21,15,0
1122,21,15,0
1123,21,15,0
1124,21,15,0
1125,21,15,0
1126,21,15,0
1127,21,15,0
1128,21,15,0
1129,21,15,0
1130,21,15,0
1131,21,15,0
1132,21,15,0
1133,21,15,0
1134,21,15,0
1135,21,15,0
1136,21,15,0
1137,21,15,0
1138,21,15,0
1139,21,15,0
1140,21,15,0
1141,21,15,0
1142,21,15,0
1143,21,15,0
1144,21,15,0
1145,21,15,0
1146,21,15,0
1147,21,15,0
1148,21,15,0
1149,21,15,0
1150,21,15,1
1151,21,15,1
1152,21,15,2
1153,21,15,13
1154,21,15,13
1155,21,15,13
1156,21,15,13
1157,21,15,13
1158,21,15,13
1159,21,15,13
1160,21,15,13
1161,21,15,13
1162,21,15,13
1163,21,15,13
1164,21,15,13
1165,21,15,13
1166,21,15,13
1167,21,15,13
1168,21,15,13
1169,21,15,13
1170,21,15,13
1171,21,15,13
1172,21,15,13
1173,21,15,13
1174,21,15,13
1175,21,15,13
1176,21,15,13
1177,21,15,13
1178,21,15,13
1179,21,15,13
1180,21,10,13
1181,21,15,13
1182,21,3,13
1183,21,5,13
1184,21,14,13
1185,21,15,13
1186,21,15,13
1187,21,15,13
1188,21,15,13
1189,21,15,13
1190,21,15,13
1191,21,15,13
1192,21,15,13
1193,21,15,13
1194,21,15,13
1195,21,15,13
1196,21,15,13
1197,21,15,13
1198,21,15,13
1199,21,15,13
1200,21,15,13
